key,name,type,quantifiableUnit,quantityValue,serviceProvider,owner,emissionInformation.description,emissionInformation.scope1.stationaryCombustion,emissionInformation.scope1.mobileCombustion,emissionInformation.scope1.fugitiveEmissions,emissionInformation.scope1.processEmissions,emissionInformation.scope2.purchasedElectricity,emissionInformation.scope2.purchasedSteam,emissionInformation.scope2.purchasedHeating,emissionInformation.scope2.purchasedCooling,emissionInformation.scope3.category1,emissionInformation.scope3.category2,emissionInformation.scope3.category3,emissionInformation.scope3.category4,emissionInformation.scope3.category5,emissionInformation.scope3.category6,emissionInformation.scope3.category7,emissionInformation.scope3.category8,emissionInformation.scope3.category9,emissionInformation.scope3.category10,emissionInformation.scope3.category11,emissionInformation.scope3.category12,emissionInformation.scope3.category13,emissionInformation.scope3.category14,emissionInformation.scope3.category15,dpp.name,dpp.manufacturer,dpp.serialNumber,dpp.batchNumber,dpp.carbonFootprint.scope1,dpp.carbonFootprint.scope2,dpp.carbonFootprint.scope3
1,boiling,cooking,kg,1.0,,,GHG,"{CO2={m3=2.6, kg=1.0}, CH4={m3=1.7, kg=1.0}}",{CH4={kg=0.4}},{N2O={kg=0.2}},{CO2={kg=0.6}},{CO2={kg=0.8}},{HFC134a={kg=0.1}},{CO2={kg=0.3}},{CO2={kg=0.2}},{CO2={kg=0.5}},{CH4={kg=0.3}},{N2O={kg=0.1}},{CO2={kg=0.4}},{CO2={kg=0.2}},{SF6={kg=0.05}},{CO2={kg=0.3}},{CH4={kg=0.2}},{N2O={kg=0.15}},{CO2={kg=0.25}},{CO2={kg=0.3}},{CO2={kg=0.2}},{CO2={kg=0.15}},{CO2={kg=0.1}},{CO2={kg=0.08}},carbonara,ying xuan,10031,20011,{kgCO2e=2.2},{kgCO2e=1.4},{kgCO2e=1.8}
2,simmering,cooking,kg,1.0,,,GHG,"{CO2={m3=2.6, kg=1.0}, CH4={m3=1.7, kg=1.0}}",{CH4={kg=0.4}},{N2O={kg=0.2}},{CO2={kg=0.6}},{CO2={kg=0.8}},{HFC134a={kg=0.1}},{CO2={kg=0.3}},{CO2={kg=0.2}},{CO2={kg=0.5}},{CH4={kg=0.3}},{N2O={kg=0.1}},{CO2={kg=0.4}},{CO2={kg=0.2}},{SF6={kg=0.05}},{CO2={kg=0.3}},{CH4={kg=0.2}},{N2O={kg=0.15}},{CO2={kg=0.25}},{CO2={kg=0.3}},{CO2={kg=0.2}},{CO2={kg=0.15}},{CO2={kg=0.1}},{CO2={kg=0.08}},carbonara,ying xuan,10031,20011,{kgCO2e=2.2},{kgCO2e=1.4},{kgCO2e=1.8}
3,combining,cooking,kg,1.0,,,GHG,"{CO2={m3=2.6, kg=1.0}, CH4={m3=1.7, kg=1.0}}",{CH4={kg=0.4}},{N2O={kg=0.2}},{CO2={kg=0.6}},{CO2={kg=0.8}},{HFC134a={kg=0.1}},{CO2={kg=0.3}},{CO2={kg=0.2}},{CO2={kg=0.5}},{CH4={kg=0.3}},{N2O={kg=0.1}},{CO2={kg=0.4}},{CO2={kg=0.2}},{SF6={kg=0.05}},{CO2={kg=0.3}},{CH4={kg=0.2}},{N2O={kg=0.15}},{CO2={kg=0.25}},{CO2={kg=0.3}},{CO2={kg=0.2}},{CO2={kg=0.15}},{CO2={kg=0.1}},{CO2={kg=0.08}},carbonara,ying xuan,10031,20011,{kgCO2e=2.2},{kgCO2e=1.4},{kgCO2e=1.8}
4,pyrolysis,energy,m3,1.27,process plant,facility operator,GHG,{HFC134a={kg=0.291}},{SF6={kg=0.104}},{SF6={kg=0.166}},{CH4={kg=0.735}},{HFC134a={kg=0.007}},{HFC134a={kg=0.066}},{CO2={kg=1.641}},{N2O={kg=0.474}},{SF6={kg=0.151}},{N2O={kg=0.281}},{N2O={kg=0.179}},{N2O={kg=0.29}},{N2O={kg=0.51}},{CO2={kg=2.432}},{HFC134a={kg=0.412}},{HFC134a={kg=0.014}},{CO2={kg=1.696}},{HFC134a={kg=0.248}},{CO2={kg=0.459}},{CH4={kg=0.443}},{SF6={kg=0.002}},{SF6={kg=0.016}},{SF6={kg=0.087}},cycle operation K,manufacturing facility,40003,50003,{kgCO2e=4.4},{kgCO2e=0.94},{kgCO2e=2.19}
5,simmering,cooking,ton,0.51,production company,company B,GHG,{CH4={kg=0.244}},{CO2={kg=0.238}},{CO2={m3=2.463}},{CH4={kg=0.545}},{HFC134a={kg=0.47}},{CH4={kg=0.85}},{HFC134a={kg=0.31}},{CO2={m3=2.473}},{SF6={kg=0.104}},{CO2={kg=1.153}},{HFC134a={kg=0.404}},{CO2={m3=0.44}},{CO2={m3=1.515}},{HFC134a={kg=0.332}},{CH4={kg=1.421}},{HFC134a={kg=0.319}},{SF6={kg=0.156}},{SF6={kg=0.145}},{SF6={kg=0.186}},{SF6={kg=0.172}},{N2O={kg=0.579}},{CO2={kg=0.863}},{N2O={kg=0.226}},cycle operation W,operator,40004,50004,{kgCO2e=3.76},{kgCO2e=1.0},{kgCO2e=3.33}
6,carton_forming,packaging,cycle,2.86,manufacturing facility,company A,GHG,{CH4={kg=0.223}},{N2O={kg=0.213}},{CO2={m3=0.184}},{N2O={kg=0.741}},{HFC134a={kg=0.196}},{N2O={kg=0.621}},{SF6={kg=0.147}},{HFC134a={kg=0.069}},{HFC134a={kg=0.182}},{HFC134a={kg=0.349}},{CH4={kg=1.287}},{N2O={kg=0.157}},{HFC134a={kg=0.121}},{N2O={kg=0.649}},{N2O={kg=0.261}},{HFC134a={kg=0.402}},{N2O={kg=0.662}},{SF6={kg=0.139}},{HFC134a={kg=0.318}},{N2O={kg=0.432}},{CH4={kg=0.906}},{SF6={kg=0.142}},{SF6={kg=0.115}},production cycle W,facility co,40005,50005,{kgCO2e=4.81},{kgCO2e=2.89},{kgCO2e=3.92}
7,marinating,cooking,batch,3.04,production company,company B,GHG,{HFC134a={kg=0.442}},{SF6={kg=0.132}},{CO2={m3=0.667}},{N2O={kg=0.795}},{SF6={kg=0.132}},{CH4={kg=0.44}},{N2O={kg=0.345}},{N2O={kg=0.785}},{HFC134a={kg=0.205}},{HFC134a={kg=0.295}},{N2O={kg=0.56}},{HFC134a={kg=0.295}},{SF6={kg=0.046}},{CH4={kg=0.626}},{CH4={kg=0.84}},{HFC134a={kg=0.243}},{N2O={kg=0.165}},{CH4={kg=0.917}},{CH4={kg=0.23}},{N2O={kg=0.317}},{HFC134a={kg=0.226}},{CH4={kg=0.181}},{N2O={kg=0.086}},cycle operation M,manufacturing facility,40006,50006,{kgCO2e=2.99},{kgCO2e=1.23},{kgCO2e=0.78}
8,desuperheating,energy,batch,2.73,process plant,facility operator,GHG,{SF6={kg=0.124}},{HFC134a={kg=0.063}},{HFC134a={kg=0.202}},{CH4={kg=0.672}},{CO2={m3=2.21}},{CO2={kg=0.91}},{CO2={m3=0.405}},{CO2={kg=2.443}},{SF6={kg=0.027}},{SF6={kg=0.079}},{CH4={kg=1.074}},{CO2={m3=1.45}},{N2O={kg=0.495}},{HFC134a={kg=0.089}},{SF6={kg=0.002}},{CH4={kg=1.223}},{N2O={kg=0.279}},{N2O={kg=0.633}},{SF6={kg=0.15}},{HFC134a={kg=0.299}},{HFC134a={kg=0.443}},{N2O={kg=0.381}},{N2O={kg=0.381}},unit operation F,operator,40007,50007,{kgCO2e=0.33},{kgCO2e=1.76},{kgCO2e=3.85}
9,riveting,metal,kg,1.99,process plant,company B,GHG,{CH4={kg=1.202}},{CH4={kg=0.217}},{N2O={kg=0.15}},{CO2={m3=2.348}},{N2O={kg=0.516}},{N2O={kg=0.4}},{CO2={m3=0.605}},{CO2={m3=0.056}},{CO2={kg=1.838}},{SF6={kg=0.196}},{SF6={kg=0.158}},{SF6={kg=0.079}},{CH4={kg=0.891}},{SF6={kg=0.059}},{CH4={kg=0.233}},{HFC134a={kg=0.252}},{HFC134a={kg=0.133}},{CO2={kg=1.805}},{CO2={m3=1.037}},{HFC134a={kg=0.205}},{N2O={kg=0.009}},{CO2={kg=0.746}},{HFC134a={kg=0.477}},batch process R,process plant,40008,50008,{kgCO2e=2.19},{kgCO2e=0.98},{kgCO2e=0.2}
10,preheating,energy,day,3.17,service provider A,company A,GHG,{HFC134a={kg=0.124}},{N2O={kg=0.794}},{CH4={kg=1.464}},{CH4={kg=0.935}},{N2O={kg=0.689}},{SF6={kg=0.16}},{SF6={kg=0.037}},{CH4={kg=1.015}},{SF6={kg=0.18}},{SF6={kg=0.031}},{CH4={kg=1.175}},{HFC134a={kg=0.199}},{CH4={kg=1.322}},{N2O={kg=0.517}},{HFC134a={kg=0.06}},{HFC134a={kg=0.387}},{CO2={kg=2.783}},{N2O={kg=0.534}},{SF6={kg=0.094}},{SF6={kg=0.191}},{SF6={kg=0.042}},{CO2={m3=2.048}},{HFC134a={kg=0.201}},unit operation E,operator,40009,50009,{kgCO2e=3.02},{kgCO2e=1.93},{kgCO2e=3.93}
